0,1
,0
0.0,0050
1.0,0051
2.0,0052
3.0,0053
4.0,0055
5.0,0056
6.0,0057
7.0,0061
8.0,00625K
9.0,00631L
10.0,00632R
11.0,00633L
12.0,00634R
13.0,00635U
14.0,00636K
15.0,00636
16.0,00637L
17.0,00638R
18.0,00639
19.0,00640L
20.0,00641R
21.0,00642U
22.0,00643K
23.0,00643
24.0,00645
25.0,00646
26.0,00647L
27.0,00648R
28.0,00650L
29.0,00651R
30.0,00652
31.0,00653L
32.0,00654R
33.0,00655L
34.0,00656R
35.0,00657
36.0,00657K
37.0,00660
38.0,00661
39.0,00662
40.0,00663L
41.0,00664R
42.0,00665L
43.0,00666R
44.0,00668K
45.0,00668
46.0,00669R
47.0,00670L
48.0,00671R
49.0,00673R
50.0,00674R
51.0,00675L
52.0,00676R
53.0,00678
54.0,00679B
55.0,00680L
56.0,00681R
57.0,00682U
58.0,00683L
59.0,00684R
60.0,00685L
61.0,00686R
62.0,00687B
63.0,00688L
64.0,00689R
65.0,00690
66.0,00692
67.0,00693U
68.0,00694B
69.0,00695B
70.0,00696B
71.0,00697B
72.0,00700
73.0,00701
74.0,00702
75.0,00703
76.0,00706L
77.0,00707R
78.0,00708L
79.0,00709
80.0,00710B
81.0,00711B
82.0,00712
83.0,00713
84.0,00714
85.0,00715L
86.0,00717
87.0,00718B
88.0,00719B
89.0,00720B
90.0,00722B
91.0,00723B
92.0,00724B
93.0,00725B
94.0,00726B
95.0,00727B
96.0,00728
97.0,00730
98.0,00731
99.0,00733
100.0,00734B
101.0,00735
102.0,00736
103.0,00737
104.0,00738U
105.0,00739
106.0,00740B
107.0,00741B
108.0,00746B
109.0,00749B
110.0,00750B
111.0,00751B
112.0,00752
113.0,00753L
114.0,00754B
115.0,00755B
116.0,00756B
117.0,00757
118.0,00758B
119.0,00759B
120.0,00760B
121.0,00761B
122.0,00762
123.0,00763U
124.0,00764B
125.0,00768B
126.0,00770
127.0,00771
128.0,00772B
129.0,00773B
130.0,00775B
131.0,00777B
132.0,00778B
133.0,00779B
134.0,00780B
135.0,00781B
136.0,00782B
137.0,00783
138.0,00784B
139.0,00785B
140.0,00786B
141.0,00787B
142.0,00788B
143.0,00789B
144.0,00790B
145.0,00791B
146.0,00792B
147.0,00793B
148.0,00794B
149.0,00795B
150.0,00799B
151.0,00830
152.0,00834B
153.0,00836B
154.0,00840B
155.0,00841B
156.0,00842B
157.0,00844B
158.0,00845B
159.0,00846B
160.0,00847B
161.0,00848B
162.0,00849B
163.0,00850
164.0,00851
165.0,00852L
166.0,00853B
167.0,00856B
168.0,00857B
169.0,00858
170.0,00859B
171.0,00860B
172.0,00861
173.0,00862B
174.0,00863B
175.0,00864B
176.0,00865B
177.0,00867B
178.0,00870B
179.0,00875
180.0,00876
181.0,00877
182.0,00878
183.0,00881
184.0,00882
185.0,00883B
186.0,00884B
187.0,00885
188.0,00886
189.0,00887
190.0,00888
191.0,00890B
192.0,00891
193.0,00892
194.0,00893
195.0,00894
196.0,00895
197.0,00896
198.0,00897
199.0,00898
200.0,00899
201.0,00900
202.0,00901
203.0,00902
204.0,00903
205.0,00904
206.0,00905
207.0,00907
208.0,00908
209.0,00909
210.0,00910
211.0,00911
212.0,00912
213.0,00913
214.0,00915
215.0,00916
216.0,00917
217.0,00918
218.0,00919
219.0,00920
220.0,00921
221.0,00922
222.0,00923
223.0,00924
224.0,00925
225.0,00926
226.0,00927
227.0,00928
228.0,00929
229.0,00930
230.0,00931B
231.0,00932
232.0,00933B
233.0,00934
234.0,00935
235.0,00936
236.0,00937B
237.0,00938
238.0,00939
239.0,00940
240.0,00941
241.0,00942B
242.0,00943
243.0,00944
244.0,00945B
245.0,00946
246.0,00947
247.0,00948B
248.0,00949
249.0,00950B
250.0,00951
251.0,00952
252.0,00953B
253.0,00954
254.0,00955
255.0,00956
256.0,00957B
257.0,00958B
258.0,00959B
259.0,00960
260.0,00961
261.0,00962
262.0,00963
263.0,00964
264.0,00965
265.0,006201
266.0,006203
267.0,006204
268.0,006205
269.0,006206
270.0,006207
271.0,006208
